Session,Cell,NumSignificant,SignificantEvents
session_2024_04_23_1_MAT008,cell118,1,"rewardTime"
session_2024_04_23_1_MAT008,cell119,0,""
session_2024_04_23_1_MAT008,cell120,0,""
session_2024_04_23_1_MAT008,cell121,0,""
session_2024_04_23_1_MAT008,cell122,1,"rewardTime"
session_2024_04_23_1_MAT008,cell123,0,""
session_2024_04_23_1_MAT008,cell124,0,""
session_2024_04_23_1_MAT008,cell125,0,""
session_2024_04_23_1_MAT008,cell126,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell127,0,""
session_2024_04_23_1_MAT008,cell128,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell129,0,""
session_2024_04_23_1_MAT008,cell130,1,"rewardTime"
session_2024_04_23_1_MAT008,cell131,0,""
session_2024_04_23_1_MAT008,cell132,0,""
session_2024_04_23_1_MAT008,cell133,0,""
session_2024_04_23_1_MAT008,cell134,0,""
session_2024_04_23_1_MAT008,cell135,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell136,0,""
session_2024_04_23_1_MAT008,cell137,0,""
session_2024_04_23_1_MAT008,cell138,0,""
session_2024_04_23_1_MAT008,cell139,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell140,0,""
session_2024_04_23_1_MAT008,cell141,1,"rewardTime"
session_2024_04_23_1_MAT008,cell142,0,""
session_2024_04_23_1_MAT008,cell143,0,""
session_2024_04_23_1_MAT008,cell144,0,""
session_2024_04_23_1_MAT008,cell145,0,""
session_2024_04_23_1_MAT008,cell146,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell147,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell148,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell149,0,""
session_2024_04_23_1_MAT008,cell150,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell151,0,""
session_2024_04_23_1_MAT008,cell152,1,"rewardTime"
session_2024_04_23_1_MAT008,cell153,0,""
session_2024_04_23_1_MAT008,cell154,0,""
session_2024_04_23_1_MAT008,cell155,0,""
session_2024_04_23_1_MAT008,cell156,0,""
session_2024_04_23_1_MAT008,cell157,0,""
session_2024_04_23_1_MAT008,cell158,1,"rewardTime"
session_2024_04_23_1_MAT008,cell159,0,""
session_2024_04_23_1_MAT008,cell160,0,""
session_2024_04_23_1_MAT008,cell161,2,"stimulusOnsetTime,rewardTime"
session_2024_04_23_1_MAT008,cell162,0,""
session_2024_04_23_1_MAT008,cell163,0,""
session_2024_04_23_1_MAT008,cell164,0,""
session_2024_04_23_1_MAT008,cell165,1,"stimulusOnsetTime"
session_2024_04_23_1_MAT008,cell166,0,""
session_2024_04_23_1_MAT008,cell167,0,""
