,trialNumber,stimulusType,stimulusOnsetTime,rewardTime,rewardVolume,lickTimePostStim,lickTimePostReward,trialOffsets,rewardProb
0,1.0,Gabor90,2.4267857909989465,4.442200271683818,3.0,4.2145,4.461,34.11028529428738,100% Rewarded
1,2.0,Gabor90,15.493176815726404,17.642700271683818,3.0,16.6235,17.68,34.11028529428738,100% Rewarded
2,3.0,Gabor0,29.51313043830082,31.644700337323236,3.0,30.5505,31.638,34.11028529428738,50% Rewarded
3,4.0,Gabor90,42.481034254006985,44.61070029138978,3.0,43.724000000000004,44.622,34.11028529428738,100% Rewarded
4,5.0,Gabor45,55.200942737229084,,0.0,,,34.11028529428738,0% Rewarded
5,6.0,Gabor45,67.64611041398933,,0.0,,,34.11028529428738,0% Rewarded
6,7.0,Gabor45,78.98635377077656,,0.0,,,34.11028529428738,0% Rewarded
7,8.0,Gabor90,94.28166556792623,96.40970027822219,3.0,95.58800000000001,96.45,34.11028529428738,100% Rewarded
8,9.0,Gabor90,106.53987679050547,108.69470023880855,3.0,107.8475,108.78750000000001,34.11028529428738,100% Rewarded
9,10.0,Gabor90,117.68965537780484,119.82770029138976,3.0,118.97800000000001,119.9165,34.11028529428738,100% Rewarded
10,11.0,Gabor45,129.26650669962075,,0.0,,,34.11028529428738,0% Rewarded
11,12.0,Gabor90,140.48406912436963,142.6302001007457,3.0,142.1545,142.6265,34.11028529428738,100% Rewarded
12,13.0,Gabor0,153.50703169146064,155.64420022564354,3.0,154.782,155.859,34.11028529428738,50% Rewarded
13,14.0,Gabor45,167.60162902708197,,0.0,,,34.11028529428738,0% Rewarded
14,15.0,Gabor45,180.46482861542765,,0.0,,,34.11028529428738,0% Rewarded
15,16.0,Gabor0,193.6949552495019,195.84070026505634,3.0,194.94050000000001,195.995,34.11028529428738,50% Rewarded
16,17.0,Gabor45,210.1291078296345,,0.0,,,34.11028529428738,0% Rewarded
17,18.0,Gabor90,223.14373396030646,225.28770031773018,3.0,224.865,225.31300000000002,34.11028529428738,100% Rewarded
18,19.0,Gabor90,234.6857936998353,236.81270029138977,3.0,236.251,236.85500000000002,34.11028529428738,100% Rewarded
19,20.0,Gabor0,249.7265382167254,251.8637002848527,3.0,251.0095,251.8845,34.11028529428738,50% Rewarded
20,21.0,Gabor90,264.5707814149537,266.7142001993187,3.0,266.1185,266.75,34.11028529428738,100% Rewarded
21,22.0,Gabor90,276.74750188893944,278.88170023218754,3.0,278.1295,278.944,34.11028529428738,100% Rewarded
22,23.0,Gabor0,288.4926191424647,290.62970027168376,3.0,290.1185,290.719,34.11028529428738,50% Rewarded
23,24.0,Gabor0,300.798138565906,,0.0,302.185,302.9805,34.11028529428738,50% Rewarded
24,25.0,Gabor0,313.2720934871187,315.4142002848527,3.0,314.878,315.8165,34.11028529428738,50% Rewarded
25,26.0,Gabor90,324.9083907669125,327.05120031773015,3.0,326.5815,327.024,34.11028529428738,100% Rewarded
26,27.0,Gabor45,337.89350255723633,,0.0,,,34.11028529428738,0% Rewarded
27,28.0,Gabor0,351.3067285760591,,0.0,352.6095,353.515,34.11028529428738,50% Rewarded
28,29.0,Gabor45,363.5589254040476,,0.0,,,34.11028529428738,0% Rewarded
29,30.0,Gabor0,380.72522812775674,382.86520021255035,3.0,381.9325,382.9375,34.11028529428738,50% Rewarded
30,31.0,Gabor45,394.6971214579231,,0.0,,,34.11028529428738,0% Rewarded
31,32.0,Gabor45,408.0490464760781,,0.0,,,34.11028529428738,0% Rewarded
32,33.0,Gabor45,422.0520217943603,,0.0,,,34.11028529428738,0% Rewarded
33,34.0,Gabor0,434.13614929561083,436.27770031109316,3.0,435.8125,436.33750000000003,34.11028529428738,50% Rewarded
34,35.0,Gabor0,445.36291601432043,447.50220028485273,3.0,447.2285,447.508,34.11028529428738,50% Rewarded
35,36.0,Gabor90,456.752849908288,458.89820025197537,3.0,458.556,458.967,34.11028529428738,100% Rewarded
36,37.0,Gabor0,469.1234914338114,,0.0,470.257,471.33750000000003,34.11028529428738,50% Rewarded
37,38.0,Gabor0,482.3319806456828,,0.0,483.73650000000004,484.5165,34.11028529428738,50% Rewarded
38,39.0,Gabor0,494.68092433780316,,0.0,496.1135,,34.11028529428738,50% Rewarded
39,40.0,Gabor90,506.4669143597514,508.6037002124102,3.0,508.29650000000004,508.695,34.11028529428738,100% Rewarded
40,41.0,Gabor0,519.4771677276833,,0.0,521.088,521.827,34.11028529428738,50% Rewarded
41,42.0,Gabor0,532.9882495596573,535.1342002454321,3.0,,,34.11028529428738,50% Rewarded
42,43.0,Gabor0,544.0378462738904,546.1867002388873,3.0,545.1320000000001,546.16,34.11028529428738,50% Rewarded
43,44.0,Gabor90,558.7377086904005,560.8662002716837,3.0,560.4095,560.926,34.11028529428738,100% Rewarded
44,45.0,Gabor0,570.2812346736073,,0.0,571.5975,572.439,34.11028529428738,50% Rewarded
